timestamp,length,direction,src_ip,dst_ip,relative_time
1760125104.5592792,602,incoming,64.65.63.15,192.168.202.136,0.0
1760125104.6023135,66,outgoing,192.168.202.136,64.65.63.15,0.04303431510925293
1760125104.8522842,602,incoming,185.220.101.106,192.168.202.136,0.29300498962402344
1760125104.8524284,66,outgoing,192.168.202.136,185.220.101.106,0.2931492328643799
1760125108.5278206,602,incoming,64.65.63.15,192.168.202.136,3.968541383743286
1760125108.5280087,66,outgoing,192.168.202.136,64.65.63.15,3.9687294960021973
1760125109.2785146,602,outgoing,192.168.202.136,185.220.101.106,4.719235420227051
1760125109.2973847,66,incoming,185.220.101.106,192.168.202.136,4.738105535507202
1760125111.1313965,602,outgoing,192.168.202.136,185.220.101.106,6.572117328643799
1760125111.1537712,66,incoming,185.220.101.106,192.168.202.136,6.594491958618164
1760125111.6555123,602,outgoing,192.168.202.136,64.65.63.15,7.096233129501343
1760125111.655547,602,outgoing,192.168.202.136,185.220.101.106,7.0962677001953125
1760125111.6789417,602,incoming,185.220.101.106,192.168.202.136,7.119662523269653
1760125111.6789958,66,outgoing,192.168.202.136,185.220.101.106,7.119716644287109
1760125111.702077,66,incoming,185.220.101.106,192.168.202.136,7.1427977085113525
1760125111.7054806,66,incoming,64.65.63.15,192.168.202.136,7.1462013721466064
1760125111.7926946,2144,outgoing,192.168.202.136,185.220.101.106,7.233415365219116
1760125111.8122306,66,incoming,185.220.101.106,192.168.202.136,7.252951383590698
1760125111.8129811,66,incoming,185.220.101.106,192.168.202.136,7.25370192527771
1760125111.9630084,602,incoming,185.220.101.106,192.168.202.136,7.403729200363159
1760125111.96313,66,outgoing,192.168.202.136,185.220.101.106,7.403850793838501
1760125111.9640622,602,outgoing,192.168.202.136,185.220.101.106,7.404783010482788
1760125111.9806209,602,incoming,64.65.63.15,192.168.202.136,7.42134165763855
1760125111.9807506,66,outgoing,192.168.202.136,64.65.63.15,7.421471357345581
1760125111.98195,602,outgoing,192.168.202.136,64.65.63.15,7.422670841217041
1760125111.9911008,66,incoming,185.220.101.106,192.168.202.136,7.431821584701538
1760125112.005383,66,incoming,64.65.63.15,192.168.202.136,7.446103811264038
1760125112.318949,602,incoming,64.65.63.15,192.168.202.136,7.759669780731201
1760125112.3202085,602,outgoing,192.168.202.136,64.65.63.15,7.760929346084595
1760125112.3405619,66,incoming,64.65.63.15,192.168.202.136,7.781282663345337
1760125112.377739,1401,incoming,185.220.101.106,192.168.202.136,7.818459749221802
1760125112.383638,1837,incoming,185.220.101.106,192.168.202.136,7.824358701705933
1760125112.3839412,66,outgoing,192.168.202.136,185.220.101.106,7.82466197013855
1760125112.4118645,1519,incoming,185.220.101.106,192.168.202.136,7.852585315704346
1760125112.4121952,66,outgoing,192.168.202.136,185.220.101.106,7.85291600227356
1760125112.6298752,713,incoming,185.220.101.106,192.168.202.136,8.070595979690552
1760125112.630924,602,outgoing,192.168.202.136,185.220.101.106,8.07164478302002
1760125112.65443,66,incoming,185.220.101.106,192.168.202.136,8.095150709152222
1760125112.654468,602,outgoing,192.168.202.136,185.220.101.106,8.095188856124878
1760125112.6754646,66,incoming,185.220.101.106,192.168.202.136,8.116185426712036
1760125112.799694,602,incoming,64.65.63.15,192.168.202.136,8.24041485786438
1760125112.8005295,602,outgoing,192.168.202.136,64.65.63.15,8.241250276565552
1760125112.8176064,66,incoming,64.65.63.15,192.168.202.136,8.25832724571228
1760125112.9724212,602,incoming,185.220.101.106,192.168.202.136,8.413141965866089
1760125112.9732482,602,outgoing,192.168.202.136,185.220.101.106,8.413969039916992
