timestamp,length,direction,src_ip,dst_ip,relative_time
1760117785.277745,74,outgoing,192.168.202.136,185.216.35.222,0.0
1760117785.2914276,74,outgoing,192.168.202.136,64.65.62.230,0.01368260383605957
1760117785.2962523,74,incoming,185.216.35.222,192.168.202.136,0.01850724220275879
1760117785.296296,66,outgoing,192.168.202.136,185.216.35.222,0.018550872802734375
1760117785.3105543,74,incoming,64.65.62.230,192.168.202.136,0.03280925750732422
1760117785.3105955,66,outgoing,192.168.202.136,64.65.62.230,0.03285050392150879
1760117785.3501267,1621,outgoing,192.168.202.136,185.216.35.222,0.07238173484802246
1760117785.3506968,1631,outgoing,192.168.202.136,64.65.62.230,0.0729517936706543
1760117785.3717108,66,incoming,185.216.35.222,192.168.202.136,0.09396576881408691
1760117785.3722086,66,incoming,185.216.35.222,192.168.202.136,0.09446358680725098
1760117785.3722088,66,incoming,64.65.62.230,192.168.202.136,0.09446382522583008
1760117785.372574,66,incoming,64.65.62.230,192.168.202.136,0.09482908248901367
1760117785.6721861,1241,incoming,64.65.62.230,192.168.202.136,0.3944411277770996
1760117785.672263,66,outgoing,192.168.202.136,64.65.62.230,0.3945178985595703
1760117785.6738932,146,outgoing,192.168.202.136,64.65.62.230,0.3961482048034668
1760117785.7064269,66,incoming,64.65.62.230,192.168.202.136,0.4286818504333496
1760117785.706517,99,outgoing,192.168.202.136,64.65.62.230,0.42877197265625
1760117785.7302718,66,incoming,64.65.62.230,192.168.202.136,0.4525268077850342
1760117785.8221757,1236,incoming,185.216.35.222,192.168.202.136,0.5444307327270508
1760117785.8223877,66,outgoing,192.168.202.136,185.216.35.222,0.5446426868438721
1760117785.8241115,146,outgoing,192.168.202.136,185.216.35.222,0.5463664531707764
1760117785.8405116,66,incoming,185.216.35.222,192.168.202.136,0.5627665519714355
1760117785.840552,99,outgoing,192.168.202.136,185.216.35.222,0.5628070831298828
1760117785.8605716,66,incoming,185.216.35.222,192.168.202.136,0.5828266143798828
1760117785.8701732,145,incoming,64.65.62.230,192.168.202.136,0.5924282073974609
1760117785.9136715,66,outgoing,192.168.202.136,64.65.62.230,0.6359264850616455
1760117786.0355127,145,incoming,64.65.62.230,192.168.202.136,0.7577676773071289
1760117786.0356328,66,outgoing,192.168.202.136,64.65.62.230,0.7578878402709961
1760117786.0362978,1090,incoming,64.65.62.230,192.168.202.136,0.7585527896881104
1760117786.0363727,66,outgoing,192.168.202.136,64.65.62.230,0.7586276531219482
1760117786.059967,490,incoming,64.65.62.230,192.168.202.136,0.7822220325469971
1760117786.060107,66,outgoing,192.168.202.136,64.65.62.230,0.7823619842529297
1760117786.0886621,145,incoming,185.216.35.222,192.168.202.136,0.8109171390533447
1760117786.1298146,66,outgoing,192.168.202.136,185.216.35.222,0.852069616317749
1760117786.2010474,687,incoming,64.65.62.230,192.168.202.136,0.923302412033081
1760117786.201103,66,outgoing,192.168.202.136,64.65.62.230,0.9233579635620117
1760117786.2023,2746,outgoing,192.168.202.136,64.65.62.230,0.9245550632476807
1760117786.2023103,492,outgoing,192.168.202.136,64.65.62.230,0.924565315246582
1760117786.2209258,66,incoming,64.65.62.230,192.168.202.136,0.9431807994842529
1760117786.2216332,66,incoming,64.65.62.230,192.168.202.136,0.9438881874084473
1760117786.221961,66,incoming,64.65.62.230,192.168.202.136,0.9442160129547119
1760117786.272742,602,outgoing,192.168.202.136,64.65.62.230,0.9949970245361328
1760117786.2948763,66,incoming,64.65.62.230,192.168.202.136,1.0171313285827637
1760117786.3369946,145,incoming,185.216.35.222,192.168.202.136,1.0592496395111084
1760117786.3370702,66,outgoing,192.168.202.136,185.216.35.222,1.0593252182006836
1760117786.3399808,1090,incoming,185.216.35.222,192.168.202.136,1.0622358322143555
1760117786.340054,66,outgoing,192.168.202.136,185.216.35.222,1.0623090267181396
1760117786.355458,490,incoming,185.216.35.222,192.168.202.136,1.0777130126953125
1760117786.3555121,66,outgoing,192.168.202.136,185.216.35.222,1.0777671337127686
1760117786.4611778,2114,incoming,64.65.62.230,192.168.202.136,1.1834328174591064
1760117786.4611783,610,incoming,64.65.62.230,192.168.202.136,1.1834332942962646
1760117786.4612336,66,outgoing,192.168.202.136,64.65.62.230,1.1834886074066162
1760117786.4624593,2746,outgoing,192.168.202.136,64.65.62.230,1.1847143173217773
1760117786.4624655,492,outgoing,192.168.202.136,64.65.62.230,1.184720516204834
1760117786.4807591,66,incoming,64.65.62.230,192.168.202.136,1.2030141353607178
1760117786.4817262,66,incoming,64.65.62.230,192.168.202.136,1.2039811611175537
1760117786.4817264,66,incoming,64.65.62.230,192.168.202.136,1.2039813995361328
1760117786.58919,680,incoming,185.216.35.222,192.168.202.136,1.3114449977874756
1760117786.5892458,66,outgoing,192.168.202.136,185.216.35.222,1.3115007877349854
1760117786.5900185,2144,outgoing,192.168.202.136,185.216.35.222,1.3122735023498535
1760117786.6259866,602,incoming,64.65.62.230,192.168.202.136,1.3482415676116943
1760117786.6264307,602,outgoing,192.168.202.136,64.65.62.230,1.3486857414245605
1760117786.6324227,66,incoming,185.216.35.222,192.168.202.136,1.354677677154541
1760117786.632423,66,incoming,185.216.35.222,192.168.202.136,1.3546779155731201
1760117786.645301,66,incoming,64.65.62.230,192.168.202.136,1.367556095123291
1760117786.7856102,1090,incoming,64.65.62.230,192.168.202.136,1.5078651905059814
1760117786.7859378,1090,incoming,64.65.62.230,192.168.202.136,1.508192777633667
1760117786.785938,1248,incoming,64.65.62.230,192.168.202.136,1.508193016052246
1760117786.7860346,66,outgoing,192.168.202.136,64.65.62.230,1.5082895755767822
1760117786.7889056,4162,incoming,64.65.62.230,192.168.202.136,1.5111606121063232
1760117786.7890651,66,outgoing,192.168.202.136,64.65.62.230,1.5113201141357422
